"taxa","PC1","PC2","PC3","PC4","PC5","v1","v2","v3","v4"
"V22",-260.790864325237,292.381894657009,47.517121795134,2.11426244149275,207.896456914787,1,0,0,0
"V23",-223.831396177246,291.166658844671,79.0925829249198,21.3481555778824,191.496904530632,1,0,0,0
"V24",-222.798935757472,320.387294050188,63.5534873048925,18.7079710328864,259.170885815369,1,0,0,0
"V25",-227.97550833582,242.882130060826,86.6033819254645,11.3743380891535,191.182650747615,1,0,0,0
"V26",-196.513246918218,309.223948887625,91.1062137801555,30.1341516029397,230.452175203099,1,0,0,0
"V27",-148.468635463717,304.265982107407,283.162539842297,-22.6440995341566,-49.7877001834148,1,0,0,0
"V28",-243.308426479182,244.634407659116,40.3854337603765,49.3237176529567,179.938274513522,1,0,0,0
"V29",-195.657020288133,311.01700606529,41.0239589257066,22.4740345924161,156.463761840599,1,0,0,0
"V30",-207.773928938478,305.258960006846,110.349798396048,85.5775438033644,124.092029076354,1,0,0,0
"V31",-251.976159581192,190.111112819633,53.1656378620147,72.6242218389614,154.331048438868,1,0,0,0
"V32",-271.445161903684,291.817932054562,-142.473696329382,46.077550329783,-55.3802130934831,1,0,0,0
"V33",-237.465686266959,257.826703466542,46.1853898887269,-12.8091432712263,57.0231148108493,1,0,0,0
"V34",-194.867781228309,318.909117474726,74.172008468227,12.6399536564005,76.7470694557448,1,0,0,0
"V35",-76.5844825265059,302.80112046976,-64.3610771658883,-10.6648784482272,10.8978491196387,1,0,0,0
"V36",-340.81727297786,220.306405912269,-267.521388783026,69.0773577192402,-179.610315593635,1,0,0,0
"V37",-326.998648140184,201.390588901804,-261.781704338434,65.29791981603,-207.0917527789,1,0,0,0
"V38",-314.653678863623,171.412218865613,-180.421560322476,53.8901700193305,-129.493470467841,1,0,0,0
"V39",-272.163822448028,324.731211619372,41.4689048407578,38.664769571862,107.012603224736,1,0,0,0
"V40",-197.911418231823,283.234369835519,30.7236199134975,42.1009187168804,-7.10143021986043,1,0,0,0
"V41",-233.817881398829,328.396392784023,91.9431116455151,41.715456144698,48.2711094834824,1,0,0,0
"V42",-155.750224990057,256.298024526165,233.386383709826,-2.05143145118388,4.48293529436331,1,0,0,0
"V43",-333.407436709643,205.362478700065,-274.217624175868,59.2357869450947,-231.008931317237,1,0,0,0
"V44",-262.315647775279,242.806498420845,38.9025273911695,44.7153670742302,4.29726148335158,1,0,0,0
"V45",-366.601799192485,203.898026818886,-215.565158361313,56.8567373421836,-76.5395010835461,1,0,0,0
"V46",-327.910661851539,197.913742205146,-200.156209599112,41.9852089965003,-85.7483222382333,1,0,0,0
"V47",-318.748415597433,174.425812561836,-246.330500072335,50.3422541559427,-106.80325977437,1,0,0,0
"V48",-313.153410126101,219.020532746141,-122.807382918833,41.4769051452023,-19.3821036182857,1,0,0,0
